Date       ,AAL Adj Close       ,AAL Volume         ,DAL Adj Close       ,DAL Volume
2023-07-12 ,18.570000           ,23388600           ,47.512169           ,15383400
2023-07-13 ,18.450001           ,30683600           ,47.274357           ,32909200
2023-07-14 ,18.139999           ,23241100           ,46.162254           ,18153400
2023-07-17 ,18.180000           ,14825400           ,46.470066           , 9712500
2023-07-18 ,18.680000           ,16839500           ,48.028999           ,11647000
2023-07-19 ,18.600000           ,20416100           ,48.207729           , 9050800
2023-07-20 ,17.440001           ,54010900           ,48.346745           ,10591000
2023-07-21 ,17.420000           ,28594500           ,48.207729           , 8908000
2023-07-24 ,16.879999           ,28457900           ,47.145271           , 9434100
2023-07-25 ,16.650000           ,40053800           ,46.112602           ,13411000
2023-07-26 ,16.760000           ,21833000           ,46.102680           , 8056600
2023-07-27 ,16.570000           ,24395800           ,45.427471           , 8835300
2023-07-28 ,16.790001           ,18588400           ,45.397682           , 8272200
2023-07-31 ,16.750000           ,21646200           ,45.933876           , 7190000
2023-08-01 ,16.230000           ,31342400           ,45.079941           , 9002800
2023-08-02 ,15.950000           ,29884600           ,44.484165           , 7641900
2023-08-03 ,15.980000           ,40463900           ,43.878464           , 7096100
2023-08-04 ,15.840000           ,23503400           ,44.275646           , 7241400
2023-08-07 ,15.990000           ,22485700           ,44.921066           , 5994000
2023-08-08 ,16.180000           ,25107600           ,45.467190           , 5892100
2023-08-09 ,15.760000           ,18744600           ,44.712547           , 6073200
2023-08-10 ,15.760000           ,19104200           ,44.543743           , 6926200
2023-08-11 ,15.650000           ,16049800           ,43.858608           , 5485300
2023-08-14 ,15.880000           ,23646600           ,43.918182           , 6363300
2023-08-15 ,15.550000           ,20041500           ,42.716717           , 7020200
2023-08-16 ,15.440000           ,20012000           ,42.369186           , 5617100
2023-08-17 ,15.050000           ,22240800           ,41.485458           , 6408100
2023-08-18 ,15.040000           ,20774600           ,41.197506           , 6281100
2023-08-21 ,15.160000           ,23656300           ,41.445744           , 4164700
2023-08-22 ,14.830000           ,25084500           ,41.316654           , 4249600
2023-08-23 ,14.780000           ,18599700           ,41.902496           , 7094300
2023-08-24 ,14.570000           ,23360500           ,41.604614           , 5478200
2023-08-25 ,14.580000           ,15560800           ,41.406025           , 5804500
2023-08-28 ,14.730000           ,19455200           ,42.111019           , 4454500
2023-08-29 ,14.900000           ,22186400           ,43.461430           , 8969800
2023-08-30 ,14.770000           ,19981100           ,42.925236           , 5511900
2023-08-31 ,14.730000           ,13994500           ,42.577705           , 6506500
2023-09-01 ,14.680000           ,14713500           ,42.557846           , 5199300
2023-09-05 ,14.300000           ,25690400           ,41.465595           , 8261200
2023-09-06 ,14.330000           ,25490000           ,41.415951           , 7535200
2023-09-07 ,14.000000           ,24678300           ,40.840042           , 7242800
2023-09-08 ,13.980000           ,17141500           ,40.532227           , 8049900
2023-09-11 ,14.090000           ,20957900           ,40.552082           , 6422500
2023-09-12 ,14.110000           ,20755000           ,40.403141           , 6840000
2023-09-13 ,13.310000           ,58836000           ,39.271175           ,11263000
2023-09-14 ,13.260000           ,31461300           ,39.052734           ,13190400
2023-09-15 ,13.310000           ,24956700           ,39.618713           , 9841100
2023-09-18 ,13.110000           ,21613900           ,38.615829           , 8517700
